,gene,euclidean_dist,cityblock_dist,minkowsky_dist,cosine_dist,km2_eucl,km3_eucl,km5_eucl,km10_eucl,km100_eucl,km2_city,km3_city,km5_city,km10_city,km100_city,km2_minkow,km3_minkow,km5_minkow,km10_minkow,km100_minkow,km2_cos,km3_cos,km5_cos,km10_cos,km100_cos
2670,ECH1,0.26424909687164755,0.4174637853538831,0.26424909687164755,0.09871105047852136,0,0,4,9,99,1,2,2,9,26,0,0,2,9,90,0,2,1,7,22
2671,ECHDC1,0.029174780866825227,0.04130293366335064,0.029174780866825227,0.0010814767888334131,0,2,2,5,21,1,0,3,8,8,0,1,1,3,8,0,1,3,5,43
2672,ECHS1,0.1934827415073791,0.31454082314871773,0.1934827415073791,0.05372740342250226,0,2,0,4,7,1,0,0,0,89,0,1,3,8,70,0,1,1,2,54
2673,ECM1,0.1691102465455336,0.2722662585661633,0.1691102465455336,0.029977025937856117,0,2,0,8,52,1,0,0,5,91,0,1,3,0,69,0,1,3,2,61
2674,ECM2,0.16243486619971226,0.2652510875696392,0.16243486619971226,0.015137324616031456,0,2,0,8,79,1,0,0,5,4,0,1,3,0,26,0,1,3,5,71
2675,EDARADD,0.17131386279650396,0.276725344670007,0.17131386279650396,0.04234850155375214,0,2,0,8,27,1,0,0,5,47,0,1,3,0,32,0,1,3,2,52
2676,EDC3,0.15728867412720438,0.24476227418191343,0.15728867412720438,0.029565747522755426,0,2,0,8,11,1,0,0,5,32,0,1,3,0,95,0,1,3,2,61
2677,EDC4,0.3161822630559614,0.5145153181814772,0.3161822630559614,0.12038540239055828,1,0,4,0,63,0,2,2,3,6,1,0,2,5,51,0,2,1,7,80
2678,EDEM1,0.21950209186790307,0.33375710462296004,0.21950209186790307,0.057402936017184714,0,0,0,4,96,1,2,0,0,62,0,0,3,8,0,0,1,1,2,81
2679,EDEM2,0.314058051587768,0.49500344805968277,0.314058051587768,0.10689676876416787,1,0,4,0,63,0,2,2,3,63,1,0,2,5,51,0,2,1,7,46
2680,EDEM3,0.06403509412247127,0.10448171265725612,0.06403509412247127,0.004402735514532741,0,2,2,5,81,1,0,3,8,80,0,1,1,3,15,0,1,3,5,13
2681,EDF1,0.31710565068606783,0.5048230049820819,0.31710565068606783,0.1175382832013302,1,0,4,0,1,0,2,2,3,6,1,0,2,5,51,0,2,1,7,56
2682,EDIL3,0.2556527151457757,0.41744010360457584,0.2556527151457757,0.08817667775567706,0,0,4,9,60,1,2,2,9,26,0,0,2,9,31,0,1,1,0,58
2683,EDN1,0.10178386766927677,0.16107465643184352,0.10178386766927677,0.015097947973905068,0,2,2,1,24,1,0,3,2,30,0,1,1,6,92,0,1,3,5,71
2684,EDNRA,0.24470700437999415,0.39110475413821355,0.24470700437999415,0.04198314562039651,0,0,4,9,93,1,2,2,9,2,0,0,2,9,49,0,1,3,2,52
2685,EDNRB,0.11961931746140271,0.18300243429676155,0.11961931746140271,0.01029450363452733,0,2,2,1,0,1,0,3,2,82,0,1,1,6,14,0,1,3,5,65
2686,EEA1,0.23247281529853123,0.36620945457521603,0.23247281529853123,0.05496238011698662,0,0,0,4,30,1,2,0,0,22,0,0,3,8,76,0,1,1,2,54
