ARHGEF5	104	60	69	109	258	132
ARHGEF6	212	151	1337	13	68	288
ARHGEF7	395	475.2	1356.8	282.8	413.2	599.8
ARHGEF9	230	271	506	19	251	404
ARID1A	1430.5	1371.5	2483	1058	1600	2472.5
ARID1B	1285	1155.33	2058.67	613.333	1296.67	1672.33
ARID2	715	855	1521	338	1183	1196
ARID3A	73	60	270	108	99	80
ARID4A	459.667	693	768.333	305.667	515.667	578
ARID4B	539.5	834	1180	499.5	563	969.5
ARID5A	198	109	698	156	182	192
ARID5B	1661	1379	3242	615	1040	2040
ARIH1	701	811	1614	418	876	1703
ARIH2	489	427	1465	332	447	593
ARL1	411	507	832	149	757	1210
ARL10	115	85	305	158	100	173
ARL13B	82.5	115	248.5	83	128	435
ARL15	79	108	190	31	28	197
ARL16	29	130	111	62	121	126
ARL2	155	125	453	136	228	272
ARL2BP	146	244	484	292	415	597
ARL3	115	114	187	96	227	211
ARL4A	107	172.333	93.6667	4.66667	84.6667	191
ARL4C	309	372	902	318	640	1338
ARL4D	405	330	501	264	335	568
ARL5A	228	385.333	549	300.667	441.667	575.667
ARL5B	272	385	600	379	732	930
ARL6IP1	693	912	1767	1204	1692	2439
ARL6IP4	548.5	895.25	1481.5	1677.75	1030.5	862.25
ARL6IP5	496	563	1759	60	376	679
ARL8A	212	204	491	222	414	435
ARL8B	558	899	1339	486	1605	1450
ARMC1	197	303	517	412	312	966
ARMC5	179.5	190.5	765	252	384.5	282
ARMC6	285	229	692	304	348	584
ARMC7	70	92	237	154	218	114
ARMC8	214.333	379	454.667	231	309	526.333
ARMC9	96	84	746	144	115	270
ARMCX1	112	142	456	7	53	144
ARMCX2	104.5	80	756.5	47	151.5	167
ARMCX3	424.667	340.667	1673.67	128.333	445.667	1170
ARMET	122	65	257	155	118	186
ARNT	666.333	518.667	1569.33	372.667	596.333	900
ARNT2	49	52	242	12	18	49
ARNTL	92	69.6667	182.333	33	83.6667	271.667
ARNTL2	376	461	661	713	761	942
ARPC1A	180	194	351	256	740	693
ARPC1B	295	268	1435	506	1360	1582
ARPC2	1431	1755.5	2817	1038.5	2098.5	3166.5
ARPC4	941	956	3343	749	1517.33	1673
ARPC5	259	546	798	369	757	956
ARPC5L	356	360	664	151	614	723
ARPP-19	1072	1189	3277	388	1413	4195
ARPP-21	302	194	738	0	6	96
ARRB1	127	115	749	54	86	106
ARRB2	140.5	141	1173	370.5	426	223.5
ARRDC1	254	226	391	183	572	411
ARRDC2	146	108	859	75	260	272
ARRDC3	1232	1372	2642	676	460	1511
ARRDC4	332	229	644	368	148	589
ARS2	642	694	1316	792	1155.5	1025
ARSA	191.2	162	547.6	90.8	295.2	346.4
ARSB	68	70	631	201	90	253
ARSD	136	323	493	58	180	252
ARSG	100	201	196	12	133	34
ARSI	106	130	294	66	286	283
ARSJ	110	79	189	246	319	858
ARV1	109	194	246	112	128	220
ASAH1	454.667	871.667	1449	172.333	547	590.667
ASAM	115	87	987	42	83	649
ASAP1	468	411	1244	381	1071	1083
ASAP2	291.5	365	921.5	294	684.5	945
ASAP3	416	341	2101	288	336	401
ASB1	348	442	1722	364	915	771
ASB2	277	73	169	22	126	148
ASB3	74	81	206	57.5	109.5	147.5
ASB5	424	489	4276	0	20	380
ASB6	174.5	150	455.5	150.5	492.5	473.5
ASB7	102	123	227	88	168	336
ASB8	259	243	752	53	157	402
ASCC1	122	158	334	118	250	354
ASCC2	445	516	900	255	693	947
ASCC3	785.5	838.5	1637	335	1299	2267
ASF1B	95	64	144	93	166	194
ASH1L	2273	2278	4878	1572	2524	3787
ASH2L	216	380.5	634	179	353	326
ASL	72.25	95.5	291.25	86.75	87.25	169.5
ASNA1	206	197	479	221	265	507
ASNS	107	158	130	189.5	446.5	297.5
ASNSD1	251	406	724	162	339	493
ASPH	728	957.5	1410.5	1165	1486.5	2288.5
ASPM	494	642	832	599	1268	1296
ASPN	56	165	1032	46	60	646
ASPRV1	96	54	299	259	66	80
ASPSCR1	165	228	470	579	325	302
ASS1	62	22	110.5	50	287.5	162
ASTE1	54	70	147	51	12	223
ASTN2	42	90.6667	159.667	58	115	516
ASXL1	1040	858	2873	949	1442	1717
ASXL2	896	824	1986	663	2061	1835
